year	country	bug	drug	metric	value
2013	Finland	Acinetobacter spp.	Aminoglycosides	pct_res	0
2013	France	Acinetobacter spp.	Aminoglycosides	pct_res	11.246943765
2013	Croatia	Acinetobacter spp.	Aminoglycosides	pct_res	84.07079646
2013	Hungary	Acinetobacter spp.	Aminoglycosides	pct_res	63.213530655
2013	Ireland	Acinetobacter spp.	Aminoglycosides	pct_res	1.136363636
2013	Italy	Acinetobacter spp.	Aminoglycosides	pct_res	81.798245614
2013	Netherlands	Acinetobacter spp.	Aminoglycosides	pct_res	4.47761194
2013	Norway	Acinetobacter spp.	Aminoglycosides	pct_res	2.777777778
2013	Poland	Acinetobacter spp.	Aminoglycosides	pct_res	73.298429319
2013	Portugal	Acinetobacter spp.	Aminoglycosides	pct_res	56.277056277
2013	Romania	Acinetobacter spp.	Aminoglycosides	pct_res	80.291970803
2013	Sweden	Acinetobacter spp.	Aminoglycosides	pct_res	8.108108108
2013	Slovenia	Acinetobacter spp.	Aminoglycosides	pct_res	16
2013	Slovakia	Acinetobacter spp.	Aminoglycosides	pct_res	42.780748663
2013	United Kingdom	Acinetobacter spp.	Aminoglycosides	pct_res	2.45398773
2014	Austria	Acinetobacter spp.	Aminoglycosides	pct_res	8.860759494
2014	Bulgaria	Acinetobacter spp.	Aminoglycosides	pct_res	60.91954023
2014	Cyprus	Acinetobacter spp.	Aminoglycosides	pct_res	73.684210526
2014	Czech Republic	Acinetobacter spp.	Aminoglycosides	pct_res	10.169491525
2014	Germany	Acinetobacter spp.	Aminoglycosides	pct_res	4.060913706
2014	Denmark	Acinetobacter spp.	Aminoglycosides	pct_res	1.666666667
2014	Greece	Acinetobacter spp.	Aminoglycosides	pct_res	83.875
2014	Spain	Acinetobacter spp.	Aminoglycosides	pct_res	58.75
2014	Finland	Acinetobacter spp.	Aminoglycosides	pct_res	3.225806452
2014	France	Acinetobacter spp.	Aminoglycosides	pct_res	8.312958435
2014	Croatia	Acinetobacter spp.	Aminoglycosides	pct_res	82.530120482
2014	Hungary	Acinetobacter spp.	Aminoglycosides	pct_res	59.459459459
2014	Ireland	Acinetobacter spp.	Aminoglycosides	pct_res	2.247191011
2014	Italy	Acinetobacter spp.	Aminoglycosides	pct_res	88.288288288
